Year Published,PUMA,Borough,Neighborhoods,CD,Join,NYC_Poverty_Rate,Median_Income,Perc_White,Perc_Black,Perc_Asian,Perc_Other,Perc_Hispanic,Goal,GoalName,GoalFullName,TotalOutcome,GoalRank,IndexScore,ScoreRank,Ind1,Ind1Outcome,Ind1Rank,Ind1Definition,Ind2,Ind2Outcome,Ind2Rank,Ind2Definition,Ind3,Ind3Outcome,Ind3Rank,Ind3Definition,Ind4,Ind4Outcome,Ind4Rank,Ind4Definition,Ind5,Ind5Outcome,Ind5Rank,Ind5Definition,Ind6,Ind6Outcome,Ind6Rank,Ind6Definition,Ind7,Ind7Outcome,Ind7Rank,Ind7Definition,Ind8,Ind8Outcome,Ind8Rank,Ind8Definition
2020,3702,Bronx,"Wakefield, Williamsbridge & Woodlawn",BX Community District 12,3702,0.232,26136,0.069,0.655,0.026,0.023,0.226,Jobs & Income,Goal 3: Jobs & Income,Goal 3: Access to Quality Jobs & Income Supports,-0.122584629,25,3.535724348,Middle,Job Training And Placement Support,0,37,"Number of job training and placement programs per 10,000 unemployed residents",Jobs With Health Insurance,0.470863762,23,Percentage of the population that has health insurance coverage through their current or former employer or through their union,Labor Force Participation,0.64,27,Percent of the non-institutionalized people age 16 or older who are employed or looking for work,Job Quality,34257.99219,26,Median income of neighborhood residents with 5 or more years housing tenure,Educational Attainment,0.743,34,Percentage of high school students who graduate on time (within 4 years),Public Benefits Utilization,0.904,10,Percentage of people eligible for SNAP receiving the benefit,Tax Credit Utilization,0.955,16,Percentage of eligible Tax Units claiming EITC,Adults With High School Diploma,0.804814574,31,Percentage of adults with a high school degree or equivalent
2020,3702,Bronx,"Wakefield, Williamsbridge & Woodlawn",BX Community District 12,3702,0.232,26136,0.069,0.655,0.026,0.023,0.226,Overall Index,Overall Neighborhood Financial Health,Overall Neighborhood Financial Health,-18.26001394,41,2.127159355,Bottom,"Goal 1: Access to Affordable, High-Quality Financial Services",,42,,"Goal 2: Access to Affordable, High-Quality Goods & Services",,37,,Goal 3: Access to Quality Jobs & Income Supports,,25,,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,,49,,Goal 5: Opportunities to Build Assets & Plan for the Future,,34,,,,,,,,,,,,,
2020,3702,Bronx,"Wakefield, Williamsbridge & Woodlawn",BX Community District 12,3702,0.232,26136,0.069,0.655,0.026,0.023,0.226,Majority Race/Ethnicity,Majority Race or Ethnicity,Majority Race or Ethnicity,0.655,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,3703,Bronx,"Coop City, Pelham Bay & Schuylerville",BX Community District 10,3703,0.14,31573,0.293,0.285,0.03,0.022,0.371,Build Assets,Goal 5: Build Assets,Goal 5: Opportunities to Build Assets & Plan for the Future,3.803685524,15,6.575279816,Top,Homeownership Opportunity,0.446,14,Percentage of housing units that are owner-occupied,Neighborhood Tenure,0.743,7,Percentage of residents who have lived in their homes for 10 or more years,Minority And Women-Owned Business Enterprise,40.84400042,24,"Number of NYC certified M/WBEs per 100,000 residents",Retirement Security,3.11:1,21,Median income-to-poverty line ratio of residents age 65 and older,Community Efficacy,26.95704028,26,"Number of community and public institutions per 10,000 residents",Small Business Employment Opportunity,0.226373183,37,Percentage of jobs in small businesses (less than 20 employees),Participatory Budgeting,,43,Percentage of eligible residents casting a vote in most recent participatory budgeting cycle,,,,
2020,3703,Bronx,"Coop City, Pelham Bay & Schuylerville",BX Community District 10,3703,0.14,31573,0.293,0.285,0.03,0.022,0.371,Financial Services,Goal 1: Financial Services,"Goal 1: Access to Affordable, High-Quality Financial Services",1.081466537,22,3.440500048,Middle,Bank / Credit Union-To-Nonbank Ratio,2.3:1,30,Ratio of banks & credit unions to check cashers & pawnshops,Bank / Credit Union Density,2.042200021,22,"Number of bank and credit union branches per 10,000 residents",IDNYC Acceptance,0.08,10,Percentage of bank & credit union branches that accept IDNYC as primary ID,Mortgage Origination By Race,Asian 8.61%; Black or African American (non-Hispanic or Latino) 10.42%; Hispanic or Latino 26.81%; Other/No Information 13.61%; White (non-Hispanic or Latino) 40.56%,28,Racial/ethnic mix of mortgage loans originated in the past year,Bank / Credit Union Utilization,0.897,28,Percentage of residents with a bank or credit union account,Affordable Products,0.56,18,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines,Mobile Banking Utilization,0.2056,24,Estimated percentage of residents that used mobile banking in past twelve months,,,,
2020,3706,Bronx,"Bedford Park, Fordham North & Norwood",BX Community District 7,3706,0.264,18674,0.066,0.154,0.061,0.022,0.696,Majority Race/Ethnicity,Majority Race or Ethnicity,Majority Race or Ethnicity,0.696,Hispanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,3703,Bronx,"Coop City, Pelham Bay & Schuylerville",BX Community District 10,3703,0.14,31573,0.293,0.285,0.03,0.022,0.371,Financial Shocks,Goal 4: Financial Shocks,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,6.152649723,13,6.827386299,Top,Ability To Borrow At Low Cost,0.57,27,Percentage of residents with a prime or better credit score,Housing Stability,0.561,26,Percentage of rental housing units that are under regulatory protection,Health Insurance Access,0.93,9,Percentage of residents with health insurance,Rent Burden,0.469,10,Percentage of households that pay more than 30% of income on rent,Severe Rent Burden,0.245,11,Percentage of households that pay more than 50% of income on rent,Pre-foreclosure Notices,48.9,33,"Number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units",Financial Counseling,2.639353824,17,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years",,,,
2020,3703,Bronx,"Coop City, Pelham Bay & Schuylerville",BX Community District 10,3703,0.14,31573,0.293,0.285,0.03,0.022,0.371,Goods & Services,Goal 2: Goods & Services,"Goal 2: Access to Affordable, High-Quality Goods & Services",0.574403066,18,4.703062631,Top,Access To Groceries,204.22,16,Supermarket square footage per 100 residents,Child Care Capacity,0.6456,20,Percentage of 3- and 4-year-olds enrolled in early education programs,Health Care Access,0.12,38,Percentage of adults who did not receive needed medical care in past year,Cost Of Transportation ($),595.09,28,Average (mean) amount of money spent monthly on transportation per household,Cost Of Transportation (%),0.123107211,17,Percentage of median household income spent on transportation,Journey To Work Time,43.9,39,Average (mean) travel time to work in minutes,,,,,,,,
2020,3703,Bronx,"Coop City, Pelham Bay & Schuylerville",BX Community District 10,3703,0.14,31573,0.293,0.285,0.03,0.022,0.371,Jobs & Income,Goal 3: Jobs & Income,Goal 3: Access to Quality Jobs & Income Supports,1.882331538,19,3.993143129,Middle,Job Training And Placement Support,0,37,"Number of job training and placement programs per 10,000 unemployed residents",Jobs With Health Insurance,0.58984726,13,Percentage of the population that has health insurance coverage through their current or former employer or through their union,Labor Force Participation,0.59,43,Percent of the non-institutionalized people age 16 or older who are employed or looking for work,Job Quality,43603.14063,9,Median income of neighborhood residents with 5 or more years housing tenure,Educational Attainment,0.753,30,Percentage of high school students who graduate on time (within 4 years),Public Benefits Utilization,0.829,16,Percentage of people eligible for SNAP receiving the benefit,Tax Credit Utilization,0.92,32,Percentage of eligible Tax Units claiming EITC,Adults With High School Diploma,0.833333333,25,Percentage of adults with a high school degree or equivalent
2020,3703,Bronx,"Coop City, Pelham Bay & Schuylerville",BX Community District 10,3703,0.14,31573,0.293,0.285,0.03,0.022,0.371,Overall Index,Overall Neighborhood Financial Health,Overall Neighborhood Financial Health,13.49453639,13,4.525947159,Top,"Goal 1: Access to Affordable, High-Quality Financial Services",,22,,"Goal 2: Access to Affordable, High-Quality Goods & Services",,18,,Goal 3: Access to Quality Jobs & Income Supports,,19,,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,,13,,Goal 5: Opportunities to Build Assets & Plan for the Future,,15,,,,,,,,,,,,,
2020,3703,Bronx,"Coop City, Pelham Bay & Schuylerville",BX Community District 10,3703,0.14,31573,0.293,0.285,0.03,0.022,0.371,Majority Race/Ethnicity,Majority Race or Ethnicity,Majority Race or Ethnicity,,No Majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,3704,Bronx,"Pelham Parkway, Morris Park & Laconia",BX Community District 11,3704,0.205,25358,0.218,0.215,0.076,0.022,0.47,Build Assets,Goal 5: Build Assets,Goal 5: Opportunities to Build Assets & Plan for the Future,-3.367946491,37,4.240034444,Middle,Homeownership Opportunity,0.284,31,Percentage of housing units that are owner-occupied,Neighborhood Tenure,0.669,27,Percentage of residents who have lived in their homes for 10 or more years,Minority And Women-Owned Business Enterprise,37.83754566,28,"Number of NYC certified M/WBEs per 100,000 residents",Retirement Security,3.14:1,19,Median income-to-poverty line ratio of residents age 65 and older,Community Efficacy,11.19682473,52,"Number of community and public institutions per 10,000 residents",Small Business Employment Opportunity,0.145039858,48,Percentage of jobs in small businesses (less than 20 employees),Participatory Budgeting,,43,Percentage of eligible residents casting a vote in most recent participatory budgeting cycle,,,,
2020,3704,Bronx,"Pelham Parkway, Morris Park & Laconia",BX Community District 11,3704,0.205,25358,0.218,0.215,0.076,0.022,0.47,Financial Services,Goal 1: Financial Services,"Goal 1: Access to Affordable, High-Quality Financial Services",-2.307914589,33,2.329568091,Middle,Bank / Credit Union-To-Nonbank Ratio,1.7:1,32,Ratio of banks & credit unions to check cashers & pawnshops,Bank / Credit Union Density,1.467170138,28,"Number of bank and credit union branches per 10,000 residents",IDNYC Acceptance,0,28,Percentage of bank & credit union branches that accept IDNYC as primary ID,Mortgage Origination By Race,Asian 19.06%; Black or African American (non-Hispanic or Latino) 15.16%; Hispanic or Latino 22.81%; Other/No Information 17.97%; White (non-Hispanic or Latino) 25.00%,5,Racial/ethnic mix of mortgage loans originated in the past year,Bank / Credit Union Utilization,0.847,37,Percentage of residents with a bank or credit union account,Affordable Products,0.421052632,33,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines,Mobile Banking Utilization,0.1788,34,Estimated percentage of residents that used mobile banking in past twelve months,,,,
2020,3704,Bronx,"Pelham Parkway, Morris Park & Laconia",BX Community District 11,3704,0.205,25358,0.218,0.215,0.076,0.022,0.47,Financial Shocks,Goal 4: Financial Shocks,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,-5.375318579,37,2.476304992,Middle,Ability To Borrow At Low Cost,0.46,38,Percentage of residents with a prime or better credit score,Housing Stability,0.567,24,Percentage of rental housing units that are under regulatory protection,Health Insurance Access,0.878,40,Percentage of residents with health insurance,Rent Burden,0.573,35,Percentage of households that pay more than 30% of income on rent,Severe Rent Burden,0.308,27,Percentage of households that pay more than 50% of income on rent,Pre-foreclosure Notices,71.5,44,"Number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units",Financial Counseling,0,40,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years",,,,
2020,3802,Manhattan,"Hamilton Heights, Manhattanville & West Harlem",MN Community District 9,3802,0.235,24561,0.286,0.215,0.083,0.037,0.379,Overall Index,Overall Neighborhood Financial Health,Overall Neighborhood Financial Health,-21.60341419,44,1.874593734,Bottom,"Goal 1: Access to Affordable, High-Quality Financial Services",,51,,"Goal 2: Access to Affordable, High-Quality Goods & Services",,45,,Goal 3: Access to Quality Jobs & Income Supports,,33,,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,,25,,Goal 5: Opportunities to Build Assets & Plan for the Future,,44,,,,,,,,,,,,,
2020,3704,Bronx,"Pelham Parkway, Morris Park & Laconia",BX Community District 11,3704,0.205,25358,0.218,0.215,0.076,0.022,0.47,Goods & Services,Goal 2: Goods & Services,"Goal 2: Access to Affordable, High-Quality Goods & Services",-0.85758976,24,3.99776457,Middle,Access To Groceries,178.92,26,Supermarket square footage per 100 residents,Child Care Capacity,0.59037,33,Percentage of 3- and 4-year-olds enrolled in early education programs,Health Care Access,0.12,38,Percentage of adults who did not receive needed medical care in past year,Cost Of Transportation ($),505.3383333,18,Average (mean) amount of money spent monthly on transportation per household,Cost Of Transportation (%),0.119293766,10,Percentage of median household income spent on transportation,Journey To Work Time,42.6,32,Average (mean) travel time to work in minutes,,,,,,,,
2020,3704,Bronx,"Pelham Parkway, Morris Park & Laconia",BX Community District 11,3704,0.205,25358,0.218,0.215,0.076,0.022,0.47,Jobs & Income,Goal 3: Jobs & Income,Goal 3: Access to Quality Jobs & Income Supports,-5.643407877,41,2.276156352,Bottom,Job Training And Placement Support,0,37,"Number of job training and placement programs per 10,000 unemployed residents",Jobs With Health Insurance,0.407148705,37,Percentage of the population that has health insurance coverage through their current or former employer or through their union,Labor Force Participation,0.626,34,Percent of the non-institutionalized people age 16 or older who are employed or looking for work,Job Quality,33792.96094,27,Median income of neighborhood residents with 5 or more years housing tenure,Educational Attainment,0.694,44,Percentage of high school students who graduate on time (within 4 years),Public Benefits Utilization,0.663,36,Percentage of people eligible for SNAP receiving the benefit,Tax Credit Utilization,0.932,27,Percentage of eligible Tax Units claiming EITC,Adults With High School Diploma,0.777478225,38,Percentage of adults with a high school degree or equivalent
2020,3704,Bronx,"Pelham Parkway, Morris Park & Laconia",BX Community District 11,3704,0.205,25358,0.218,0.215,0.076,0.022,0.47,Overall Index,Overall Neighborhood Financial Health,Overall Neighborhood Financial Health,-17.5521773,40,2.180630429,Bottom,"Goal 1: Access to Affordable, High-Quality Financial Services",,33,,"Goal 2: Access to Affordable, High-Quality Goods & Services",,24,,Goal 3: Access to Quality Jobs & Income Supports,,41,,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,,37,,Goal 5: Opportunities to Build Assets & Plan for the Future,,37,,,,,,,,,,,,,
2020,3704,Bronx,"Pelham Parkway, Morris Park & Laconia",BX Community District 11,3704,0.205,25358,0.218,0.215,0.076,0.022,0.47,Majority Race/Ethnicity,Majority Race or Ethnicity,Majority Race or Ethnicity,,No Majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,3705,Bronx,"Belmont, Crotona Park East & East Tremont",BX Community Districts 3 & 6,3705,0.308,14213,0.045,0.301,0.008,0.011,0.635,Build Assets,Goal 5: Build Assets,Goal 5: Opportunities to Build Assets & Plan for the Future,-9.80202438,51,2.144953355,Bottom,Homeownership Opportunity,0.072,50,Percentage of housing units that are owner-occupied,Neighborhood Tenure,0.627,38,Percentage of residents who have lived in their homes for 10 or more years,Minority And Women-Owned Business Enterprise,20.36671729,50,"Number of NYC certified M/WBEs per 100,000 residents",Retirement Security,1.66:1,46,Median income-to-poverty line ratio of residents age 65 and older,Community Efficacy,14.89679893,48,"Number of community and public institutions per 10,000 residents",Small Business Employment Opportunity,0.205644366,41,Percentage of jobs in small businesses (less than 20 employees),Participatory Budgeting,0.110562822,11,Percentage of eligible residents casting a vote in most recent participatory budgeting cycle,,,,
2020,3705,Bronx,"Belmont, Crotona Park East & East Tremont",BX Community Districts 3 & 6,3705,0.308,14213,0.045,0.301,0.008,0.011,0.635,Financial Services,Goal 1: Financial Services,"Goal 1: Access to Affordable, High-Quality Financial Services",-9.274541361,53,0.046128128,Bottom,Bank / Credit Union-To-Nonbank Ratio,0.5:1,52,Ratio of banks & credit unions to check cashers & pawnshops,Bank / Credit Union Density,0.69828745,50,"Number of bank and credit union branches per 10,000 residents",IDNYC Acceptance,0,28,Percentage of bank & credit union branches that accept IDNYC as primary ID,Mortgage Origination By Race,Asian 6.67%; Black or African American (non-Hispanic or Latino) 12.94%; Hispanic or Latino 32.94%; Other/No Information 32.55%; White (non-Hispanic or Latino) 14.90%,27,Racial/ethnic mix of mortgage loans originated in the past year,Bank / Credit Union Utilization,0.719,52,Percentage of residents with a bank or credit union account,Affordable Products,0.25,50,Percentage of bank & credit union branches offering checking accounts that meet New York Basic Banking guidelines,Mobile Banking Utilization,0.1305,52,Estimated percentage of residents that used mobile banking in past twelve months,,,,
2020,3705,Bronx,"Belmont, Crotona Park East & East Tremont",BX Community Districts 3 & 6,3705,0.308,14213,0.045,0.301,0.008,0.011,0.635,Financial Shocks,Goal 4: Financial Shocks,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,-8.528860002,47,1.286041906,Bottom,Ability To Borrow At Low Cost,0.32,54,Percentage of residents with a prime or better credit score,Housing Stability,0.752,11,Percentage of rental housing units that are under regulatory protection,Health Insurance Access,0.879,37,Percentage of residents with health insurance,Rent Burden,0.633,50,Percentage of households that pay more than 30% of income on rent,Severe Rent Burden,0.361,47,Percentage of households that pay more than 50% of income on rent,Pre-foreclosure Notices,81.28,49,"Number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units",Financial Counseling,2.155208179,18,"Full-Time Equivalent Financial Counselors per 100,000 residents aged 18-64 years",,,,
2020,3705,Bronx,"Belmont, Crotona Park East & East Tremont",BX Community Districts 3 & 6,3705,0.308,14213,0.045,0.301,0.008,0.011,0.635,Goods & Services,Goal 2: Goods & Services,"Goal 2: Access to Affordable, High-Quality Goods & Services",-5.390761639,52,1.765045746,Bottom,Access To Groceries,170.5,31,Supermarket square footage per 100 residents,Child Care Capacity,0.53104,48,Percentage of 3- and 4-year-olds enrolled in early education programs,Health Care Access,0.15,52,Percentage of adults who did not receive needed medical care in past year,Cost Of Transportation ($),292.9383333,2,Average (mean) amount of money spent monthly on transportation per household,Cost Of Transportation (%),0.144121192,48,Percentage of median household income spent on transportation,Journey To Work Time,43.2,35,Average (mean) travel time to work in minutes,,,,,,,,
2020,3802,Manhattan,"Hamilton Heights, Manhattanville & West Harlem",MN Community District 9,3802,0.235,24561,0.286,0.215,0.083,0.037,0.379,Majority Race/Ethnicity,Majority Race or Ethnicity,Majority Race or Ethnicity,,No Majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
